Permission Name,Description,Privileged
PermissionsDynamicCommonOrchestratorUser,Dynamic Common Orchestrator User,FALSE
PermissionsEditAccountScoreFields,View Account Scores,FALSE
PermissionsEditActivatedOrders,Edit Activated Orders,FALSE
PermissionsEditBillingInfo,Manage Billing,FALSE
PermissionsEditBrandTemplates,Manage Letterheads,FALSE
PermissionsEditCaseComments,Edit Case Comments,FALSE
PermissionsEditEvent,Edit Events,FALSE
PermissionsEditHtmlTemplates,Edit HTML Templates,FALSE
PermissionsEditKnowledge,Manage Articles,FALSE
PermissionsEditMyDashboards,Edit My Dashboards,FALSE
PermissionsEditMyReports,Edit My Reports,FALSE
PermissionsEditOppLineItemUnitPrice,Edit Opportunity Product Sales Price,FALSE
PermissionsEditPublicDocuments,Manage Public Documents,FALSE
PermissionsEditPublicFilters,Manage Public List Views,FALSE
PermissionsEditPublicTemplates,Manage Public Classic Email Templates,FALSE
PermissionsEditReadonlyFields,Edit Read Only Fields,TRUE
PermissionsEditRepricing,Edit Repricing Information,FALSE
PermissionsEditTask,Edit Tasks,FALSE
PermissionsEditTopics,Edit Topics,FALSE
PermissionsEditTranslation,Article Translation - Edit,FALSE
PermissionsEGPTSalesSummariesUser,Einstein Sales Summaries User,FALSE
PermissionsEinsteinAgentPlatformBuilder,Manage AI Agents,TRUE
PermissionsEinsteinCopilotBuilder,Manage Agentforce Default Agent,TRUE
PermissionsEinsteinCopilotUser,Use Agentforce Default Agent,FALSE
PermissionsEinsteinGPTSalesEmailsUser,Use Einstein Sales Emails,FALSE
PermissionsEinsteinSalesCoachAgent,Agentforce Sales Coach,FALSE
PermissionsEinsteinSalesRepFdbkUser,Use Einstein Coach,FALSE
PermissionsEinsteinSdrAAPerm,Enables users to assign EinsteinSdr Automated Action rule.,FALSE
PermissionsEinsteinSdrAccessPerm,Use Agentforce SDR Agent App,FALSE
PermissionsEinsteinSdrConfigPerm,Configure Agentforce SDR Agent App,FALSE
PermissionsEinsteinSdrWorkerPerm,Engage Prospects as an Agentforce Sales Development Agent,FALSE
PermissionsEmailAdministration,Email Administration,FALSE
PermissionsEmailMass,Mass Email,FALSE
PermissionsEmailSingle,Send Email,FALSE
PermissionsEmailTemplateManagement,Manage Email Templates,FALSE
